Mass [Solar Mass], Radius [Solar Radii], Moment of Inertia [g cm^2]
1.028219298863572, 0.00723492152767003, 1.2745793681720203e+50
1.0383993211904186, 0.007127356167464899, 1.2420248855769696e+50
1.0484086816893035, 0.007020921805494293, 1.209768041125986e+50
1.0582454899316052, 0.0069156152675475015, 1.1778360134313235e+50
1.0679081158874475, 0.0068114332173225735, 1.146254474945133e+50
1.0773951836804208, 0.00670837216124535, 1.1150473281067177e+50
1.08670556495492, 0.0066064284511961075, 1.0842367467878571e+50
1.0958383718516984, 0.006505598289733218, 1.0538434634923194e+50
1.1047929496841173, 0.0064058777335043934, 1.0238864796759285e+50
1.1135688693331336, 0.006307262697082021, 9.943833779377848e+49
1.1221659194013798, 0.006209748957486494, 9.653500169616092e+49
1.1305840981952695, 0.006113332157863469, 9.368008767478238e+49
1.138823605535845, 0.0060180078120908925, 9.087487306046781e+49
1.1468848344667504, 0.0059237713083720245, 8.812051856531308e+49
1.1547683628879828, 0.005830617912881526, 8.541802245254296e+49
1.1624749451232328, 0.005738542774866347, 8.276825835403838e+49
1.170005503494823, 0.005647540929043675, 8.017196228224583e+49
1.1773611198885237, 0.005557607300217593, 7.762974754612263e+49
1.1845430273650324, 0.005468736706906653, 7.514209996036035e+49
1.1915526018345401, 0.005380923864721314, 7.270939359412035e+49
1.1983913538096929, 0.005294163389930155, 7.033188924087643e+49
1.2050609202641058, 0.005208449802930788, 6.800974148813602e+49
1.211563056612422, 0.005123777531401815, 6.574300392497471e+49
1.2240726057071833, 0.004957534201267492, 6.137550479890492e+49
1.2359361175949601, 0.004795387085522627, 5.722799060499675e+49
1.2471711162692538, 0.004637288578770739, 5.329779952811526e+49
1.2577963060490045, 0.004483189868693041, 4.958114421745945e+49
1.267831357344311, 0.004333041014065022, 4.607327889870441e+49
1.2772967060652114, 0.004186791015433038, 4.2768645501161473e+49
1.286213367143839, 0.004044387879586435, 3.9661020484608313e+49
1.2946027623776741, 0.00390577867817186, 3.674362978257103e+49
1.3024865625858997, 0.003770909600989145, 3.400928331573735e+49
1.3098865439669496, 0.0036397260049728744, 3.1450478493143376e+49
1.316824458330541, 0.003512172459377891, 2.905949565232958e+49
1.3294002865993468, 0.0032677301085087588, 2.474958469267366e+49
1.340383475267342, 0.003037124901697792, 2.1016619010637373e+49
1.3499369176387412, 0.002819889122852009, 1.7798857363575946e+49
1.3582149526235103, 0.0026155462079343887, 1.503724784200332e+49
1.3653619668647725, 0.002423612026732523, 1.267644127919384e+49
1.3715115283778476, 0.0022435962771949485, 1.0665416107362646e+49
1.3767859634656312, 0.0020750040215269756, 8.957802328562632e+48
1.3812962934680988, 0.0019173373732639502, 7.511956954748574e+48
1.3851424547120197, 0.001770097324833371, 6.290866526597883e+48
1.3884137329934125, 0.0016327856887299575, 5.261924620522029e+48
1.3911893525586572, 0.0015049071127625677, 4.39663385214515e+48
1.3935391680350921, 0.0013859711255651494, 3.670246869817415e+48
1.3955244169525267, 0.0012754941570968297, 3.06141258740339e+48
1.3971984977234433, 0.0011730014907753328, 2.5517996068422196e+48
1.3986077461107478, 0.00107802909820002, 2.12574247788299e+48
1.3997921894544878, 0.0009901253189170812, 1.7699073030598133e+48
1.400786263773045, 0.0009088523542942101, 1.472984215888343e+48
1.40161948371449, 0.0008337875534742461, 1.2254096232153822e+48
1.4023170593146603, 0.0007645244783041738, 1.0191176990307324e+48
1.4029004567063956, 0.0007006737424596434, 8.47321553612802e+47
1.4033879023781501, 0.0006418636273931801, 7.04321773420936e+47
1.4037948324015148, 0.0005877404839421019, 5.853403576020752e+47
1.4041342893292008, 0.0005379689333330209, 4.863776609585612e+47
1.4044172703051405, 0.0004922318849270383, 4.040898268821747e+47
1.404653030415649, 0.0004502303903860321, 3.3568429065244954e+47
1.4048493455251951, 0.00041168335520123554, 2.7883103495000795e+47
1.4050127388514928, 0.0003763271288604872, 2.3158750813778367e+47
1.4051486754011102, 0.00034391499448986184, 1.9233527502235148e+47
1.4052617281550488, 0.0003142165778232776, 1.597266996089551e+47
1.4053557196040223, 0.00028701719392724815, 1.3264011537038874e+47
1.4054338419057764, 0.00026211714845357975, 1.1014241490678193e+47
1.4054987586106207, 0.00023933100835143433, 9.145755984246203e+46
1.4055526905630773, 0.0002184868551099654, 7.594030385315099e+46
1.405597488296282, 0.00019942553176288729, 6.305430625648822e+46
1.4056346928935408, 0.000181999893113178, 5.235385827524409e+46
1.4056655871038122, 0.00016607406700129527, 4.346858861741174e+46
1.4056912381810671, 0.00015152273293961622, 3.6090797528121974e+46
1.4057125337490242, 0.00013823042308896082, 2.996488000325059e+46
1.405730211790708, 0.00012609084936955473, 2.4878517031858297e+46
1.4057448856986796, 0.00011500625946886229, 2.0655372904143217e+46
1.405757065181685, 0.00010488682362586182, 1.7148998788378208e+46
1.4057671736986834, 9.565005332860213e-05, 1.4237775980858404e+46
1.4057755629873199, 8.722025244284044e-05, 1.182071084106896e+46
1.4057825251638527, 7.952800078250793e-05, 9.813939524470827e+45
1.4057883027952878, 7.25096697257417e-05, 8.147828054703859e+45
1.4057930972794799, 6.610696915916214e-05, 6.76455478869019e+45
1.4057970758150726, 6.02665247853498e-05, 5.616110659760049e+45
1.4058003771964047, 5.4939484645301196e-05, 4.662634000758708e+45
1.4058031166300118, 5.008115357665927e-05, 3.8710284081169715e+45
1.4058053897370255, 4.56506542418061e-05, 3.213814911151212e+45
1.4058072758782116, 4.161061330980954e-05, 2.6681790597829125e+45
1.4058088409159382, 3.792687135535425e-05, 2.215178205049669e+45
